subject_id,gender,height_cm,weight_kg
H8jB3UHeLJWmknB1gVWrteMIRwI2JOXYnglAz_t4pTM,male,172.5,73.0
NU781sAsq4b4CtVf1wqf-ivPX0wwDn64WJUL1ZCkTQg,female,172.0,121.3
7BmrrDp9qXfGuZxXJpTZjvJ9gpp5dMYWDQYV8yNxFOM,male,185.9,108.8
N1iLWrIpDkxDyjcZb-It95lRyaa962Zzwqavgsp_yGs,female,173.0,65.0
MtUohvFgj2NX2MFhcLamQ_bJz5fOGfdVJgCD1vdI53s,female,152.0,49.6
I5GFuCtUHboX3aGbon_rYuCPxc8wyUZohwvvPB24j-s,female,155.6,53.9
ndQmIqL9tdnNKKZzeQPLHaG1oLf1UBIIF3I1sHvWExY,female,146.4,49.3
TpKPp47HoA807XrETDbC9bDhKoirCmnJfVT6yE3R9Vc,female,163.2,55.1
Xu8qHbFzez_Bykc_DlvQg73scmKM7BHKkxhQy2CtNa8,female,163.0,61.2
NkZbQWliIwOJ1C4CUNPbGMusJ9dNu-5gbuTCE2wvBK0,male,164.5,59.6
vgx-3bglRTWmdrlYZxZSY0YhHRlGr5uvvzCqCrUDFbw,male,180.0,97.6
4qlqgGEPnbkySuq_MAHB1dC_t_ltqTgeKo0e4FPSxH4,female,155.5,43.8
petaqFJr80kYQwcULgKLBZM751R31wsHcdxSrjGvw6M,female,160.2,70.1
U5odvYdNQNabJPINniKdxmribHCOH4UXSBixAe_Qe-o,female,153.5,44.4
D00-s_iSFJTuoiceXOtt6DfE-ozZOtePxcy-kZQFrNQ,female,166.0,61.7
rHuEAA6EHJt4hz3VfhWpBrqR1lsecV8IHbeZXuBSTtI,female,164.3,53.9
K9VX6X7rI2rZvdTu2gLntz3QJ8U6uNnUKcXmt5R5lYg,female,166.5,64.3
jX5uELDMPHB1r9RnA1o3R_JNVNaViHpbmIxAH3v8DnA,female,165.7,54.4
kmHT8QMfCU_tKs4IRz_HopuquzIQN4F8iJrv9uixchc,female,169.0,54.8
PsPb1_Y-xHLFmJ77Eu31HDfArlxoAzSN0v53MQA_Sik,female,164.5,82.6
3lqFXTxm9s3cltziV-MU0Ru7SIFr1crgfkpYlty3_8o,female,164.5,61.2
BwIaXUO8HI5MpHaVqxuAiZ01pls4gM6FagV9b9ts5WQ,male,171.5,74.0
2gXmeTyx3QNggAJ-oY6U8yrt5NDp8J7zfYQb-xSB434,male,173.2,70.9
YkL0GKk3qFOHQeMhcd90Ow1VoP6KXH4jEzj2G9mBn3k,male,163.0,70.0
HWfg0CiSonnq7E6tGpyVuy9_c8-o11_7H9LcI4MmqUk,male,172.0,67.8
C8kR58Bg0CKU-zFCa6TrftedwuJcB0fc4668peTaQAI,male,176.7,72.5
jw4ADW38_ehDYm6YP4yV6se4PZRG9nDgWz9ceUwyIsU,female,158.6,52.9
Z7esnQj4rKzaYeCyHY-vstUkv8kqEPnpJb2lWQkUfJY,male,176.0,77.7
kXcmuWtWua9QBmggl8WinzOTK699TzhEB-Ppwb7FjV4,female,161.5,54.7
rXs46k2bHAvb30z4uJzjiDdJVFrKkC4ZkvLGHHWgjtk,male,185.2,87.6
2_BeBSniuQH0bL7o-bh2BqWPFbUcf0t8XI4dxewSUbc,male,179.0,92.5
6VGAL0i8H2arwCCu7CK2I_kAVbQY7zFp2qeIRIekL7Q,female,169.5,72.1
ZMVjJy1LazGLdP6feEfT8MWqpNBvw0_G0GfNsbwqvrQ,female,154.0,88.4
sp4sZkTs3ceVv3gizbv3lD2PSQvkQjerP2VFEZ9Vi1Q,female,161.6,93.2
2aJQIOdBbvgYWOXDRTI8J1oInWp27begNBGx8LNRYGo,female,156.5,64.2
sViq7Zrbp5qpdGZk0ZgTOX6s0Cpid5L1D4uNRseSxII,female,154.0,60.4
c2CHx2YHCJjx_nf5thSriGeQUY8GJL5Qzy-f9018xIQ,female,152.0,43.4
4PHz7YSvqsSLBdU2XPf7lh9ORQC-0B-dukLIG4PxS48,female,157.5,54.7
AaEqTg39qkCJ41BcJeiby0-CYzNz0luCsYgL_JvdEoE,female,155.4,74.8
xwcqD8P1nUdPsbL-3pwTrTDXXinilscO7PSOl89Ah8M,male,176.0,73.7
y4rG6XGshWsfjBeobfxuYIm6I1GMMCBHUYZOiAJh0sk,male,168.0,56.8
EVXFFYf95mgXGg2zze_8SymNla9zM3xx-GqGqfyFFb8,female,163.0,68.6
Yjvw2sx9u1J7SBbPbOvbiVLlAHgxoTTgLIkcRBRYkfQ,female,165.1,70.4
ZtCB_Rlk9ClRlA24anmshJc-yi3MsBm3w7IiD9hO3SI,female,156.5,61.2
n3jnfpTNc_uE4yo22sGNY67Ha74tyA4DPSJNMBEGVlQ,female,156.0,48.07
h1R0i5v35ye65k_bqxsbs8-i-62Rft4XsClqBepNYCY,male,168.0,71.1
LIYKBlhyjwMidV3G3uol5s3JXNimymtR5lma4KThWks,female,170.0,63.3
iz7qazrukhbGGtbVjTcbN8_n7qoKwtbHgJ26GC0fhzY,male,170.0,77.9
ieQvI4RQ7K-7D9-xdUgq9wEYFOWlQJy1AMApllSRpk4,male,178.5,78.1
4ILmdGi7cOtZv6qiQ6TnehCUU3OOI6M3K4S-c7Ir-LA,female,164.5,57.5
O-WUYdJIDRNO9f1P-24DLIndqZa-IExQTRgKGbnXvqU,female,158.2,50.4
C6TvL5HJxoeNycj42LbN9PzqyqlY1mZs3E9O2SbtYMI,male,174.0,77.5
Wyojww01j4Ki2Kcz0Ejp2wlLV-J9WXgnsLZJQI6PTTA,female,155.5,57.9
DLh97j9lZlhTpcQUEbknAYhOwPt2kCm38I51myoU31g,male,182.0,95.4
YOmie_TGN_2YWCrdKbC6lUmlftVdlLyzNk7p1id69WE,male,177.5,88.9
ExlRs_DoqMdlnIhGWQ9PhyD--VGy4HPJuslo4_u1F3w,female,155.0,59.6
UjdkaKfwVBHiRzjusSnW42fMvC05bsrSFp5KPnZ6tvM,female,168.0,71.7
hRu-siknwE4U3hmSWpoJjIoxecD8v0w0jdE62AsGPpE,male,158.5,64.9
QRGlgUXKL5x0xOqFjD71FrwBg1ewMY1fF0nPMB_7fYA,female,162.5,55.8
TnqnaOTE6NFO_PYJVwdLVDHyNv4ijA1r2ZblCl_Gr2Y,male,179.5,63.6
2FXVWCFPSgSqnTSjOif2Z8s7GaRfe0GaD9eJfktnGkU,female,161.5,88.1
_OwGY4b-GDYGS_ItNTmO1Pe7iffOPxQYXfOA_PwArrw,female,168.5,71.7
LMRhpdER4a5mtfAkWkcGi_5Lltr_Y5-yKRlYKKsRv6I,female,162.5,53.4
_zFbooQZB3_hn2xiodGKyOwLG3NDhLQoFdaVQGCFngQ,female,169.2,63.6
q1FueQkgYQ_wcgSXzw-rr9w_CFhDtWcO81iyWO-wrK8,female,158.0,56.4
S96FNXGFNwHK6maWsuqxSSV7ZuiROU8ugIViJYxc98c,female,165.2,47.6
WL-KMPCuuVLSa3mJyiNXnGTHvoygZEl4u0URI5DWULc,female,171.0,127.0
On9nvvHciXProeyQXc4Ri7faRUQnUedSDhrsBB-4zX0,male,169.5,56.3
z9cb1ndBimIRPNN38mlLm5a807cBlZkUPFBz6mMM0nM,male,155.7528,83.9
R-uZM5uDBDxVmu9mPv3JJbVGJTmo0T3G52H5Qs3XpKk,male,171.5,68.8
I6SMIUIACvpEJpx63AVVaj4tKdJbsw9DpyWK2r94GgQ,female,155.5,60.4
MCJTwdYUwGWP_9q1M5VWBDMCn-wpAkoXchzv1piAsmI,female,173.0,69.8
Eju1_wRfN5KKQP0Ca-VPlDx0iit-xJ3wxH7EM-Xs8NY,female,164.0,54.0
FJiz276i4gOtso-HxLnNh6aeMv-pmOYV-u_40s_tuRE,female,168.0,56.8
Td6kxoGAg5AwM1imBFbc30-x8CCOF3aBC1G-ZpeUaVk,male,175.0,75.5
3hpDSNj5_25ceylKU4jJLSldgKCE4QJRGi2mmPqAcOA,male,176.0,129.5
URsAqyO4RDQ-SlMDOJ-GlD0OVoCh256Pf_XYtIJHoU4,female,154.5,50.1
3ArIaaPCyGhdCpgQtqN3VSJfdOglct9hjUX6aoq3xrM,male,155.48,60.3
9UFHG00TNhVCbt815jL-xCLVUPEuUdDO0yHBPjYoAVk,female,168.0,75.7
gbOA_pKwN8NQJzx8oh_wTCbJ5I2qdFvMEHX13gffEQs,female,166.0,49.8
ciQGNWqXFbUG0X0oOCSQdOG_LNhPYJP1CoiUAonmYPU,female,164.0,70.1
8U4gOvl_8Vxtl_z4R0vCzHlP1yh_zQy3P5UqpXbZYTY,female,159.0,49.5
d5H9abc2bG5ZGZwxq-6RviKO0P_gHhZ7Gv5-mMc7F4s,female,162.0,56.4
LeCGtlzUFtZP6Nie0qM1oT0ekp_TxQaccvBn_DyMdqc,male,183.0,67.4
ybQWJXvc-zx1kYtlTwfSChUBV95bO34weqngDFBl7zc,female,159.5,56.0
07P1Yi2alvpi0MtJTu7-TmoT5E3x2dABQKiuu_jcnLU,male,167.0,70.0
J95sC19riKqdSrsOQh8hNfN_vqpUdYqGeoXKxzVaioU,male,176.0,70.4
sT2J6ZYhZch-m0azKHNV9fPVY0GSLEo6mG1oYy7Dwbo,female,165.5,63.3
GL4czIdF7siAH4SMs4buOGaFb48mKGeB8av3wzSRUww,male,174.0,94.8
CdGmN49IuFUblUTnOUmDraKKgTn3eC0SpJajr6qRfVQ,female,152.4,43.9
tCOAShvXLzKE13qSmwOsQgb1JzpZczOVK0mCgCHtd6U,female,152.0,46.7
DstnNPfFBk1UKZQfVLGUeuNYj4sSJ8Ne4oeYYNi2r1U,male,170.5,72.6
qVRgS1dTySlWQtenEvTek_2pc4NXSuz5C20SnURHnfw,male,175.5,86.4
RJ8cPrCV1zY7oR0FsOf7SisLFKl8GQr6SFHuGHEm_5A,female,168.5,63.4
bQR-tfBhbWL0hmBtlHxCywBTXGeunwcwUtMmrkhN-TA,male,184.3,111.3
l2MmaBYj5jHK-6izflgKdfQJ9VfeMtM4zw5bXMjUpwY,female,175.5,52.1
EyXlLXKS0K0XLKpbVUaBdR7e1G8xVRSc63G42DqViwU,female,163.0,55.4
6yP1-b5Xwyrks-r-LvuIgt4gSkvUu6HbVHds-jHNX0Q,male,171.4,99.5
s73uwxdvhJuFb0X_OsdUA1BhMk5gx4RmzNw0cwy_2Fw,female,169.0,71.3
qv6JH6LnbT2ic1L1jTazcselRAtw04meEvo10mrf-Kw,male,157.5,72.3
CWdfHbHsgGnj5jTc1478UQhGguuciXD5MNEBOtvyB3k,male,180.0,92.1
jk6gkCEKfRYwvt5ghnQ_-fQZ15Pp_HZAfiFAhrGodUI,male,176.0,86.3
YJiHDNNjFmbhily1zzbtnGUxVk5sFHRBOjDZQvjvyl0,female,152.5,45.0
OOii9fHGTjHrKyuFhsKUyvSFSRDN4ebpt-yR6gK7Uh8,female,166.0,76.0
xyvqTS26F9h3DrmT1OUeyxCqwVfpMBxpuHe4346Jv6E,male,167.5,58.0
enh8WbWz9Ol669Z5u-vLDF820m2dn9iICA9_z6jl_lQ,female,179.0,55.0
59bc2765681516389ccf4548,female,179.0,70.0
mmOmP7TCGUdK25p1IvmmBm2GlwVF7FT8u5cIcrd1cTY,male,166.5,53.9
j9nuG_rUFdfXXsnbwL_E-XXcIiNQmUBXtDo4_b68Zos,male,167.5,63.4
a-IOPcy2snxGm88ScUOW_E3XEkvO91NNKnSQuXnfacU,female,155.0,58.0
GOxxOMY0zUtqmNpuxACcwgm1UTpoSUExzmfLn0DEpkA,female,159.0,52.9
YOYBXyWsvE4tz70F1ntjKROmaAlKpRaatGCpWE-cHwQ,female,173.0,53.4
qwAi2syHhE8Bs5J4cZWnc02YdTI6bdJ7w1q92Fnv8_s,male,171.0,55.1
HXEJFm3DQqE9mcEDxke3dpTOZKF69YgoojIIN5AlW9c,male,185.5,63.5
GcgfIRxHFeGgadhpsTw7a5bhm_K3rxDKn8uBDytZ9p0,female,173.3,103.7
pozisiuLWWhbGu0knoxSdfwUaXBHDLyJdOqiTLAlzOM,female,166.0,120.6
hhl4pbnq7wyXXtJbC_5AeQst0vxAkBEqcs2OD8wm0eI,male,185.5,97.1
cvDF05jdSdIyiAp3A7bMnxg2KZ0zwUksDXYsLW1w2NY,female,167.64,74.8
gFvHXmK7D_urXyN3FWXxcBCeQOEaAcke6AB4ijQy8r8,male,172.2,52.4
Ic0j0RLvA-z6dJaMm0XhW7XOBxhjzZEK91k3mx-hO8c,male,184.5,67.1
frqbjsjabZKUohS3teZCDuv7VTYTZbHWXXAakvtQd8A,male,163.5,101.7
IefaN1ApNHVmqq0lHr9A-pcgxk-ZdPO6DZriRK-C1JU,female,161.3,60.7
40jyjsY-6305fXhV2zgB2kzDoJ-oAOiEJFzFgPsHaXU,female,164.0,54.0
L77kDhnDEsZqD-2UeLtToNYBTRey8gI5X_q5jXNgkt8,female,165.0,117.5
Ag3NIPCk-sgJZu7DK3JisnMnanNCfoR62fTnQjPk1IY,male,175.0,79.9
IRRl47RhJx43fBiKc_DSNTeLOQhCIkhwr-_xQPBqzyU,female,160.0,60.0
UNxDQmJU62GSnqUfq7T1Bj958mAkGW0elwAyhsoj4pk,female,171.5,81.7
hsn4SIwxi7Oq1tU7M81Nc-7QDHznAaiTln5Jz04SeD4,female,169.0,54.5
